CG	Bussgods	CGB	Bussgods	SE	FI, SE
DANX	DANX	DANXAIR	DANX Air	*	*
DANX	DANX	DANXSTD	DANX Road	*	*
DHLAIR	DHL Express	DADOK	DHL Express 09:00 (Inrikes)	DK, EE, SE	DK, EE, SE
DHLAIR	DHL Express	DASE	DHL Express 09:00 (Tullfri)	DK, EE, FI, SE	*
DHLAIR	DHL Express	DASECD	DHL Express 09:00 (Tullpliktigt)	DK, EE, FI, NO, SE	*
DHLAIR	DHL Express	DATDL	DHL Express 10:30 (Tullfri)	DK, EE, FI, SE	US
DHLAIR	DHL Express	DATDM	DHL Express 10:30 (Tullpliktigt)	DK, EE, FI, SE	US
DHLAIR	DHL Express	DADOT	DHL Express 12:00 (Inrikes)	DK, EE, SE	DK, EE, SE
DHLAIR	DHL Express	DAME	DHL Express 12:00 (Tullfri)	DK, EE, FI, SE	*
DHLAIR	DHL Express	DAMECD	DHL Express 12:00 (Tullpliktigt)	DK, EE, FI, NO, SE	*
DHLAIR	DHL Express	DAESU	DHL Express Economy Select (Tullfri)	EE, FI, SE	AT, BE, BG, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, NL, PL, PT, RO, SE, SI, SK
DHLAIR	DHL Express	DAESI	DHL Express Economy Select (Tullpliktigt)	EE, FI, NO, SE	AD, AT, AX, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GI, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, NL, NO, PL, PT, RO, SE, SI, SK, SM
DHLAIR	DHL Express	DAXPD	DHL Express Envelope (Tullfri)	DK, EE, FI, NO, SE	*
DHLAIR	DHL Express	DADOM	DHL Express Worldwide (Inrikes)	DK, EE, FI, NO, SE	DK, EE, FI, NO, SE
DHLAIR	DHL Express	DAECX	DHL Express Worldwide (Tullfri inom EU)	DK, EE, FI, PL, SE	AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK
DHLAIR	DHL Express	DADOX	DHL Express Worldwide (Tullfri, ej EU)	DK, EE, FI, PL, SE	*
DHLAIR	DHL Express	DAWPX	DHL Express Worldwide (Tullpliktigt)	DK, EE, FI, NO, PL, SE	*
